Year,Quintile1,Quintile2,Quintile3,Quintile4,Quintile5
2001,172.9999,153,198,283,393.0001
2002,187.86,153.57,199.77,279.74,379.06
2003,192.693,158.099,207.445,269.478,372.285
2004,204.78,170.47,203.288,306.112,315.35
2005,205.743,158.492,232.148,318.627,284.99
2006,214.892,168.931,239.986,314.801,261.39
2007,223.894,181.445,243.0249,338.06359,213.57251
2008,223.556,184.813,256.081,361.272,174.278
2009,238.796,166.572,222.8,337.503,234.329
2010,238.211,174.829,237.98,363.574,185.406
2011,256.445,179.877,243.578,364.48,155.62
2012,256.307,181.214,235.688,351.02,175.771
2013,265.18,196.71,233.61,382.47,122.03
2014,287.03,201.39,247.17,394.57,69.84
