Q1,Q2,Q3,Q4,Q5
-0.65600956,-0.548468384,-0.513568727,-0.430757192,0.303749621
-0.190100348,-0.6995973,-0.057674145,-0.269275501,0.10292242
-0.303711431,-0.397441327,-0.268975651,-0.63457267,0.19144546
-0.70663358,-0.909676054,-0.685980647,-0.777571403,-0.917655189
0.217602595,1.151785015,-0.008713729,0.506973751,0.350616268
-1.098105394,-1.418254777,-1.514339881,-1.403308984,-0.876865516
-0.430877596,0.581059975,0.170602993,-0.450530658,0.314974951
-0.729343348,-0.197667928,-0.406096585,-0.145173865,0.204839975
0.00,0.00,-0.772185067,-1.127427582,-1.188104838
-0.453234772,-0.751494304,-0.223911469,-0.241274425,-0.537863637
-0.777739022,-2.142410157,-1.120937101,-0.761181566,-0.651970322
0.388519038,-0.101580102,0.117251766,0.068039327,0.501874439
-1.241265727,-0.969071458,-0.545677382,-0.235653083,-0.735451855
-1.100774662,-0.728658288,-0.25914174,0.01249192,-0.583517565
-1.179239551,-1.279513344,-0.687336361,-0.637521638,-1.046878282
-1.240975926,-1.588066468,-1.530092281,-1.074284495,-1.177444618
-0.59595274,-0.469718545,0.003365771,0.225332315,-0.11398856
-0.935253868,-1.344652566,-0.772637196,-0.656167034,-0.907943953
0.184164969,-0.006614706,0.012335719,0.215584625,0.192015541
-0.460632911,0.400758757,-0.786695811,0.096584586,0.900386669
-0.746295951,-0.819356902,-0.767175071,-0.691011386,-0.466752024
-1.145895373,-1.016117745,-0.909079714,-0.785328054,-0.617256011
-0.321362364,-1.01458702,-1.099842857,-0.265498253,0.118669162
-0.832012543,-0.718581649,-0.590630922,-0.681851082,-0.25849368
-0.330642725,0.462258325,1.831899027,2.231712196,0.749169543
-0.437716397,-0.268732612,0.510463623,-1.098068033,-2.317284125
-0.849194012,-1.128853878,0.802538269,0.906822096,2.180425074
-1.317501812,0.297612154,-1.738261303,-0.608812801,-0.88484602
-0.610015298,-0.754041659,0.236577844,0.967253484,0.429064034
-0.287657211,-0.871992719,-1.539152809,-0.306231608,-0.755814572
0.00,-0.862073143,0,-0.986697543,-0.887290077
-0.034586866,-1.070880749,-0.540292491,0.301959034,1.344492589
-0.563841291,-0.944784111,0.417539282,-0.527381095,0.504745015
-0.659994621,-0.894838351,0.197817851,0.112242133,-0.176957398
-0.589685255,-0.299017717,0.503682266,-0.888961449,0.605057974
-0.222046039,-0.197628255,-0.446066317,-0.460540178,-0.144241877
-0.075164579,0.158055204,-1.139265094,-0.247078627,0.288332227
-0.596258692,-0.550353189,-0.675732239,-0.26314756,-0.812088515
0.855421637,-0.331447371,-0.425798146,-1.13946822,-1.341220441
-0.16950864,0.269953056,-0.089887459,-0.33701746,0.070038585
-0.295820758,0.063982269,0.123652381,0.728051918,0.671358905
-0.219690083,-0.509645806,-0.028091352,0.025898264,-0.306841561
-0.405245889,0.595405713,0.289625184,0.893550409,1.053015755
-0.618832768,-0.69061905,-0.600015794,-2.224388911,-0.674724649
0.403891065,0.436982011,-0.207179804,-0.090034353,-0.163043352
-0.040497605,0.299614634,0.588076615,0.740488588,0.68372021
-0.913245249,-0.470145491,-0.270187661,0.135016262,-0.185566379
0.522271238,0.814478667,0.948416585,0.911578139,1.004490081
0.636391267,-0.241221559,-0.795852451,0.353003618,-0.654847731
-1.17162292,-0.250984275,-0.154251172,0.053403447,-0.04203641
-1.15250937,-1.598133513,-2.652412491,-2.050239071,-2.32894838
0.045887002,-2.236827714,-1.284611904,-1.397570418,-0.747689048
-0.399128953,-0.258096956,-0.752048853,-0.493720236,0.02715591
-1.509271103,-0.764671753,-1.705061586,-1.185412458,-0.630811737
-1.052766522,0.35455185,-0.621793504,-0.892084528,-1.237047893
-0.275471415,-0.440740577,-1.255994886,-0.604024783,-0.805158467
-0.291680098,-0.108616033,0.001917212,-0.122601693,-1.19908202
-1.137260241,-1.323620375,-1.244121538,-1.462058538,-1.603081473
-1.545702854,1.118912143,-1.347609036,-2.007446333,-1.52162714
0,0,0,0,0
-0.758119244,-0.824390496,-0.924054096,-1.112931932,-1.16615647
-2.057216797,-2.632694108,-1.779707735,-2.076514177,-2.198642069
0.220623984,0.256558366,0.540225752,1.494084139,-1.003138711
0.505062691,2.146874777,0.149398671,-0.304834791,-0.306512193
0.548185775,2.017788444,0.160881729,-0.349462236,-0.174319606
-0.460641324,-0.729339406,-0.474008202,0,-0.638228824
-0.91478689,-1.761927005,-1.139335993,-0.958158566,-0.531000945
-1.107327604,-1.175337806,-1.27318245,-0.707156193,-0.941848219
-1.86303126,-1.969173795,-2.487830124,-1.655753499,-1.011592257
-0.879658729,-1.26059396,-0.880673179,-1.050343406,-1.114274247
-0.904389299,-0.978745206,-0.158895746,-0.505222899,-1.581675049
-1.127841033,-1.772092787,-1.036441474,-1.395325544,-0.741998043
-0.030520743,-0.241947063,-0.185741879,0.129240484,0.630151465
-1.142819378,-1.170400328,-1.071673581,-1.683092681,-1.029241262
-0.621745572,-0.87492428,-0.44046841,-0.594152167,-0.847894287
-2.482356378,-1.489182748,-1.205847239,-1.278229387,-1.109169428
-1.119088126,-1.131197487,-0.750874383,-1.461750527,-0.834315249
-0.850553538,-1.248135955,3.312461056,0,-1.022660582
-0.778277568,-0.390376785,-0.212350846,-0.705850323,-0.483272665
-0.540761477,1.658703629,-1.959136246,0.894401916,-0.313348774
-1.047382013,-0.026702382,-0.005521018,-0.157417618,0.187876901
-0.87435486,-1.119546734,-0.756384561,0.031588553,-0.704611024
-1.058828777,-1.010083637,-1.560717669,-0.475025209,-0.51976739
-0.061444283,0.208494864,0.321863488,0.276317741,0.16388495
-0.84547442,-0.522424569,0.031460538,0.11374928,-0.409033007
-0.220352425,0.46717045,0.462279958,-0.010206679,-0.12922807
-0.668586806,-0.415297678,-0.495531378,-0.082077208,-0.612899306
-1.532423724,-1.324729523,-1.405125826,-1.599069082,-0.475037071
-2.290584674,-2.007888109,-2.029324328,-2.162956437,-1.723144301
-0.27118195,0.085701011,0.184567831,0.598872051,0.292287485
-0.640313943,-0.80922814,-1.382371531,-1.432533799,-0.464121468
-0.96117983,-0.045994229,-0.236954621,0.253779962,0.327711613
-0.534919702,-0.519206449,-0.492031216,-1.021208573,-0.37982823
0.168350322,0.066126862,-0.252951892,-0.126171073,0.012279792
-0.124511486,-0.286975661,-0.197029313,-0.299487445,-0.170494931
-0.413400828,-0.583603136,-0.05072669,-0.454671152,-0.259895041
-2.534716583,-2.053257433,-1.184411462,-1.691105945,-2.017470227
-1.742271886,-2.014115129,-2.245526982,-2.69950327,-2.381514502
-0.058497615,-0.404537755,-0.202965286,-0.072832253,0.395561052
-1.028901966,-0.530467541,-0.484066212,-0.718754333,-1.087010292
-0.970034216,-0.810867261,-1.722106635,-2.065473134,-2.116980075
-1.278042394,-1.14431295,-1.014637011,0,-0.838103501
-0.162381994,-0.189810749,0.531393916,0.436298224,0.344749548
0.644349539,0.617041763,0.728561891,1.026329926,1.321636871
-1.199648791,-0.566085605,-1.179828031,-1.352980887,-3.5120617
0.862240137,0.686175905,0.726018781,0.955621619,0.823339496
-0.242324661,-0.314886417,0.376302309,0.127309756,-0.404138903
-1.581055545,-0.268481926,-1.006626961,-0.7085971,-0.517135451
