id,Category,Elasticity,Quintile
1,Alcoholic drinks,-0.65600956,1
2,Beverages,-0.190100348,1
3,Biscuits and crispbreads,-0.303711431,1
4,Bread,-0.70663358,1
5,"Cakes, buns and pastries",0.217602595,1
6,Carcase meat,-1.098105394,1
7,Cheese,-0.430877596,1
8,Confectionery,-0.729343348,1
9,Eggs,7.21E-16,1
10,Fats,-0.453234772,1
11,Fish,-0.777739022,1
12,Flour,0.388519038,1
13,Fresh and processed vegetables,-0.935253868,1
14,Milk and milk products excluding cheese,0.184164969,1
15,Non-carcase meat and meat products,-0.460632911,1
16,Other cereals and cereal products,-0.746295951,1
17,Other food and drink,-1.145895373,1
18,Soft drinks,-0.321362364,1
19,Sugar and preserves,-0.832012543,1
20,Alcoholic drinks,-0.548468384,2
21,Beverages,-0.6995973,2
22,Biscuits and crispbreads,-0.397441327,2
23,Bread,-0.909676054,2
24,"Cakes, buns and pastries",1.151785015,2
25,Carcase meat,-1.418254777,2
26,Cheese,0.581059975,2
27,Confectionery,-0.197667928,2
28,Eggs,9.68E-16,2
29,Fats,-0.751494304,2
30,Fish,-2.142410157,2
31,Flour,-0.101580102,2
32,Fresh and processed vegetables,-1.344652566,2
33,Milk and milk products excluding cheese,-0.006614706,2
34,Non-carcase meat and meat products,0.400758757,2
35,Other cereals and cereal products,-0.819356902,2
36,Other food and drink,-1.016117745,2
37,Soft drinks,-1.01458702,2
38,Sugar and preserves,-0.718581649,2
39,Alcoholic drinks,-0.513568727,3
40,Beverages,-0.057674145,3
41,Biscuits and crispbreads,-0.268975651,3
42,Bread,-0.685980647,3
43,"Cakes, buns and pastries",-0.008713729,3
44,Carcase meat,-1.514339881,3
45,Cheese,0.170602993,3
46,Confectionery,-0.406096585,3
47,Eggs,-0.772185067,3
48,Fats,-0.223911469,3
49,Fish,-1.120937101,3
50,Flour,0.117251766,3
51,Fresh and processed vegetables,-0.772637196,3
52,Milk and milk products excluding cheese,0.012335719,3
53,Non-carcase meat and meat products,-0.786695811,3
54,Other cereals and cereal products,-0.767175071,3
55,Other food and drink,-0.909079714,3
56,Soft drinks,-1.099842857,3
57,Sugar and preserves,-0.590630922,3
58,Alcoholic drinks,-0.430757192,4
59,Beverages,-0.269275501,4
60,Biscuits and crispbreads,-0.63457267,4
61,Bread,-0.777571403,4
62,"Cakes, buns and pastries",0.506973751,4
63,Carcase meat,-1.403308984,4
64,Cheese,-0.450530658,4
65,Confectionery,-0.145173865,4
66,Eggs,-1.127427582,4
67,Fats,-0.241274425,4
68,Fish,-0.761181566,4
69,Flour,0.068039327,4
70,Fresh and processed vegetables,-0.656167034,4
71,Milk and milk products excluding cheese,0.215584625,4
72,Non-carcase meat and meat products,0.096584586,4
73,Other cereals and cereal products,-0.691011386,4
74,Other food and drink,-0.785328054,4
75,Soft drinks,-0.265498253,4
76,Sugar and preserves,-0.681851082,4
77,Alcoholic drinks,0.303749621,5
78,Beverages,0.10292242,5
79,Biscuits and crispbreads,0.19144546,5
80,Bread,-0.917655189,5
81,"Cakes, buns and pastries",0.350616268,5
82,Carcase meat,-0.876865516,5
83,Cheese,0.314974951,5
84,Confectionery,0.204839975,5
85,Eggs,-1.188104838,5
86,Fats,-0.537863637,5
87,Fish,-0.651970322,5
88,Flour,0.501874439,5
89,Fresh and processed vegetables,-0.907943953,5
90,Milk and milk products excluding cheese,0.192015541,5
91,Non-carcase meat and meat products,0.900386669,5
92,Other cereals and cereal products,-0.466752024,5
93,Other food and drink,-0.617256011,5
94,Soft drinks,0.118669162,5
95,Sugar and preserves,-0.25849368,5
