id,Category,Elasticity,Quintile
1,Milk and milk products excluding cheese,0.07444657,1
2,"c(""Milk and milk products excluding cheese"", ""Liquid wholemilk, including school and welfare"", ""Liquid wholemilk, full price"")",-0.456520248,1
3,"c(""Milk and milk products excluding cheese"", ""Liquid wholemilk, including school and welfare"", ""Liquid wholemilk, full price"", ""UHT milk"")",0.373839791,1
4,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"")",0.378031272,1
5,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Skimmed milks"")",0.230551758,1
6,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Skimmed milks"", ""Fully skimmed milk"")",0.354903274,1
7,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Skimmed milks"", ""Semi-skimmed milk"")",0.257597061,1
8,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Condensed or evaporated milk"")",0.421681036,1
9,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Infant milks"")",0.378365783,1
10,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Yoghurt and fromage frais"")",0.685392127,1
11,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Yoghurt and fromage frais"", ""Yoghurt"")",0.758239662,1
12,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Other milks and dairy desserts"", ""Dairy desserts - not frozen"")",0.563455282,1
13,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Other milks and dairy desserts"", ""Dried milk products"")",-0.280348801,1
14,"c(""Milk and milk products excluding cheese"", ""Other milk and cream"", ""Other milks and dairy desserts"", ""Milk drinks and other milks (d)"")",0.915763518,1
15,Cheese,0.323805541,1
16,"c(""Cheese"", ""Natural cheese"")",0.308707097,1
17,"c(""Cheese"", ""Natural cheese"", ""Hard cheese - cheddar type"")",0.483900342,1
18,"c(""Cheese"", ""Natural cheese"", ""Hard cheese - other uk or foreign equivalent"")",0.233831542,1
19,"c(""Cheese"", ""Natural cheese"", ""Cottage cheese"")",0.522932112,1
20,"c(""Cheese"", ""Natural cheese"", ""Soft natural cheese"")",0.806544687,1
21,"c(""Cheese"", ""Processed cheese"")",0.325302504,1
22,"c(""Carcase meat"", ""Beef and veal"", ""Beef joints - boned"")",0.300102616,1
23,"c(""Carcase meat"", ""Beef and veal"", ""Beef steak - less expensive"")",0.726295543,1
24,"c(""Carcase meat"", ""Beef and veal"", ""All other beef and veal"")",0.600846391,1
25,"c(""Carcase meat"", ""Mutton and lamb"")",0.315932725,1
26,"c(""Carcase meat"", ""Mutton and lamb"", ""Mutton"")",0.74490492,1
27,"c(""Carcase meat"", ""Mutton and lamb"", ""Lamb joints"")",0.449111659,1
28,"c(""Carcase meat"", ""Mutton and lamb"", ""Lamb chops"")",0.262591307,1
29,"c(""Carcase meat"", ""Mutton and lamb"", ""All other lamb"")",0.338405187,1
30,"c(""Non-carcase meat and meat products"", ""Liver"")",0.842381441,1
31,"c(""Non-carcase meat and meat products"", ""Liver"", ""Lambs liver"")",0.506848067,1
32,"c(""Non-carcase meat and meat products"", ""All offal other than liver"")",0.477094892,1
33,"c(""Non-carcase meat and meat products"", ""Bacon and ham, uncooked"")",0.572193337,1
34,"c(""Non-carcase meat and meat products"", ""Bacon and ham, uncooked"", ""Bacon and ham joints, uncooked"")",0.623681854,1
35,"c(""Non-carcase meat and meat products"", ""Bacon and ham, uncooked"", ""Bacon and ham rashers, uncooked"")",0.52643729,1
36,"c(""Non-carcase meat and meat products"", ""Bacon and ham, cooked"")",0.203159581,1
37,"c(""Non-carcase meat and meat products"", ""Cooked poultry not purchased in cans"", ""Chicken and turkey, cooked"")",0.611462356,1
38,"c(""Non-carcase meat and meat products"", ""Cooked poultry not purchased in cans"", ""Takeaway chicken"")",0.280937745,1
39,"c(""Non-carcase meat and meat products"", ""Corned beef, canned or sliced"")",0.841706937,1
40,"c(""Non-carcase meat and meat products"", ""Other cooked meat"")",0.474735803,1
41,"c(""Non-carcase meat and meat products"", ""Other canned meat and canned meat products"")",0.52885369,1
42,"c(""Non-carcase meat and meat products"", ""Chicken, uncooked - whole chicken or chicken pieces"")",0.91291782,1
43,"c(""Non-carcase meat and meat products"", ""Other poultry, uncooked (including frozen)"")",0.50056851,1
44,"c(""Milk and milk products excluding cheese"", ""Liquid wholemilk, including school and welfare"")",-0.453752651,1
45,"c(""Non-carcase meat and meat products"", ""Other poultry, uncooked (including frozen)"", ""Turkey, uncooked - whole turkey or turkey pieces"")",0.484667543,1
46,"c(""Non-carcase meat and meat products"", ""Other poultry, uncooked (including frozen)"", ""Poultry other than chicken or turkey, uncooked"")",0.424078671,1
