id,Category,Subcategory,Subsubcategory,Subsubsubcategory,Quintile,Elasticity
1,Alcoholic drinks,0,0,0,1,0.629516988
2,Alcoholic drinks,Alcopops,0,0,1,-0.58435992
3,Alcoholic drinks,Beers,0,0,1,1.421300035
4,Alcoholic drinks,Ciders and perry,0,0,1,0.475048149
5,Alcoholic drinks,Fortified wines,0,0,1,1.605702421
6,Alcoholic drinks,Lagers and continental beers,0,0,1,0.961011591
7,Alcoholic drinks,Liqueurs and cocktails,0,0,1,0.138863149
8,Alcoholic drinks,Spirits,0,0,1,0.015206417
9,Alcoholic drinks,Spirits with mixer,0,0,1,-0.35137084
10,Alcoholic drinks,Wine and champagne,0,0,1,0.527655833
11,Alcoholic drinks,Wine and champagne,"Champagne, sparkling wines and wine with mixer",0,1,0.986048309
12,Alcoholic drinks,Wine and champagne,Table wine,0,1,0.620778012
13,Beverages,0,0,0,1,0.249177298
14,Beverages,Cocoa and chocolate drinks,0,0,1,0.067618761
15,Beverages,Coffee beans and ground coffee,0,0,1,-0.843015849
16,Beverages,Instant coffee,0,0,1,0.599909659
17,Beverages,Malt drinks and chocolate versions of malted drinks,0,0,1,1.331857156
18,Beverages,Tea,0,0,1,0.274539114
19,Biscuits and crispbreads,0,0,0,1,0.296405621
20,Biscuits and crispbreads,Biscuits other than chocolate,0,0,1,0.29834164
21,Biscuits and crispbreads,Biscuits other than chocolate,Cream crackers and other unsweetened biscuits,0,1,0.023522478
22,Biscuits and crispbreads,Biscuits other than chocolate,Sweet biscuits (not chocolate) and cereal bars,0,1,0.203069243
23,Biscuits and crispbreads,Chocolate biscuits,0,0,1,0.532519302
24,Biscuits and crispbreads,Crispbread,0,0,1,-0.40456897
25,Bread,0,0,0,1,0.716290755
26,Bread,Brown and wholemeal bread,0,0,1,0.064692755
27,Bread,Brown and wholemeal bread,"Brown bread, sliced and unsliced",0,1,1.236059868
28,Bread,Brown and wholemeal bread,"Wholemeal and granary bread, sliced and unsliced",0,1,-0.529069694
29,Bread,Total other bread,0,0,1,-0.623719267
30,Bread,Total other bread,Malt bread and fruit loaves,0,1,1.569053871
31,Bread,Total other bread,Other breads,0,1,1.678073355
32,Bread,Total other bread,"Rolls - white, brown or wholemeal",0,1,0.09435228
33,Bread,Total other bread,Sandwiches,0,1,1.73639911
34,Bread,Total other bread,Sandwiches from takeaway,0,1,0.399393771
35,Bread,Total other bread,Starch reduced bread and rolls,0,1,1.026378062
36,Bread,Total other bread,Takeaway breads,0,1,0.594971169
37,Bread,Total other bread,Vienna and french bread,0,1,0.520083787
38,Bread,White bread,0,0,1,1.156622025
39,Bread,White bread,"White bread, premium, sliced and unsliced",0,1,0.835882148
40,Bread,White bread,"White bread, soft grain, sliced and unsliced",0,1,0.631254067
41,Bread,White bread,"White bread, standard, sliced",0,1,0.746900852
42,Bread,White bread,"White bread, standard, unsliced",0,1,4.346246253
43,"Cakes, buns and pastries",0,0,0,1,-0.17880043
44,"Cakes, buns and pastries","Buns, scones and teacakes",0,0,1,0.831493473
45,"Cakes, buns and pastries",Cakes and pastries,0,0,1,-0.505909122
46,"Cakes, buns and pastries",Cakes and pastries,"Cakes and pastries, not frozen",0,1,-0.508077506
47,"Cakes, buns and pastries",Cakes and pastries,Takeaway pastries,0,1,0.676744149
48,Carcase meat,0,0,0,1,1.124242385
49,Carcase meat,Beef and veal,0,0,1,0.895811299
50,Carcase meat,Beef and veal,All other beef and veal,0,1,1.605561947
51,Carcase meat,Beef and veal,Beef joints - boned,0,1,1.756715805
52,Carcase meat,Beef and veal,Beef joints - on the bone,0,1,-0.711310485
53,Carcase meat,Beef and veal,Beef steak - less expensive,0,1,1.017239838
54,Carcase meat,Beef and veal,Beef steak - more expensive,0,1,1.192953376
55,Carcase meat,Beef and veal,Minced beef,0,1,0.041335709
56,Carcase meat,Mutton and lamb,0,0,1,1.146490109
57,Carcase meat,Mutton and lamb,All other lamb,0,1,0.679623599
58,Carcase meat,Mutton and lamb,Lamb chops,0,1,2.909293073
59,Carcase meat,Mutton and lamb,Lamb joints,0,1,1.139251869
60,Carcase meat,Mutton and lamb,Mutton,0,1,1.335812863
61,Carcase meat,Pork,0,0,1,0.871010149
62,Carcase meat,Pork,All other pork,0,1,-1.069943483
63,Carcase meat,Pork,Pork chops,0,1,0.514630467
64,Carcase meat,Pork,Pork fillets and steaks,0,1,1.799590582
65,Carcase meat,Pork,Pork joints,0,1,1.227712642
66,Cheese,0,0,0,1,0.455710405
67,Cheese,Natural cheese,0,0,1,0.17249436
68,Cheese,Natural cheese,Cottage cheese,0,1,0.107573563
69,Cheese,Natural cheese,Hard cheese - cheddar type,0,1,0.272669852
70,Cheese,Natural cheese,Hard cheese - edam or other foreign,0,1,-0.057243155
71,Cheese,Natural cheese,Hard cheese - other uk or foreign equivalent,0,1,-0.085074522
72,Cheese,Natural cheese,Soft natural cheese,0,1,2.755256804
73,Cheese,Processed cheese,0,0,1,-1.118704096
74,Confectionery,0,0,0,1,0.742194432
75,Confectionery,Chewing gum,0,0,1,0.234222491
76,Confectionery,Chocolate bars - filled,0,0,1,0.855074583
77,Confectionery,Chocolate bars - solid,0,0,1,0.57881715
78,Confectionery,"Fudges, toffees, caramels",0,0,1,-0.009792786
79,Confectionery,Mints and boiled sweets,0,0,1,0.138920935
80,Confectionery,Mints and boiled sweets,Boiled sweets,0,1,0.391439623
81,Confectionery,Mints and boiled sweets,Mints,0,1,3.031441658
82,Eggs,0,0,0,1,0.30485263
83,Fats,0,0,0,1,0.517355407
84,Fats,All other fats,0,0,1,1.78873587
85,Fats,All other fats,Imitatation cream,0,1,0.412037819
86,Fats,All other fats,Low fat spreads,0,1,0.830422882
87,Fats,All other fats,Reduced fat spreads,0,1,1.573451431
88,Fats,All other fats,Suet and dripping,0,1,0.100010698
89,Fats,Butter,0,0,1,0.112336718
90,Fats,Margarine,0,0,1,-0.928280033
91,Fats,Margarine,Other margarine,0,1,-0.638785574
92,Fats,Margarine,Soft margarine,0,1,-1.023169289
93,Fats,Vegetable and salad oils,0,0,1,0.292765125
94,Fats,Vegetable and salad oils,Olive oil,0,1,1.736699361
95,Fats,Vegetable and salad oils,Other vegetable and salad oils,0,1,0.300247744
96,Fish,0,0,0,1,0.788029724
97,Fish,"Blue fish, dried or salted or smoked",0,0,1,0.011888723
98,Fish,"Herrings and other blue fish, fresh, chilled or frozen",0,0,1,0.91305466
99,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, fresh or chilled",0,1,0.946931503
100,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, frozen",0,1,0.12342692
101,Fish,Other tinned or bottled fish,0,0,1,1.269138357
102,Fish,Ready meals and other fish products - frozen or not frozen,0,0,1,-1.957794506
103,Fish,"Salmon, fresh, chilled or frozen",0,0,1,-0.322926179
104,Fish,"Salmon, fresh, chilled or frozen","Salmon, fresh or chilled",0,1,0.061078185
105,Fish,"Salmon, fresh, chilled or frozen","Salmon, frozen",0,1,0.163326403
106,Fish,"Salmon, tinned",0,0,1,2.176346047
107,Fish,Shellfish,0,0,1,0.767854665
108,Fish,Shellfish,"Shellfish, fresh or chilled",0,1,2.027740854
109,Fish,Shellfish,"Shellfish, frozen",0,1,0.480100677
110,Fish,Takeaway fish,0,0,1,1.846831529
111,Fish,Takeaway fish meals and fish products,0,0,1,-0.467480139
112,Fish,Takeaway fish meals and fish products,Takeaway fish based meals,0,1,-0.165964902
113,Fish,Takeaway fish meals and fish products,Takeaway fish products,0,1,0.31405606
114,Fish,"White fish, dried, salted or smoked",0,0,1,0.865976145
115,Fish,"White fish, fresh, chilled or frozen",0,0,1,0.629608121
116,Fish,"White fish, fresh, chilled or frozen","White fish, fresh or chilled",0,1,1.52938085
117,Fish,"White fish, fresh, chilled or frozen","White fish, frozen",0,1,-2.510309935
118,Flour,0,0,0,1,0.070335945
119,Fresh and processed fruit,0,0,0,1,1.291731872
120,Fresh and processed fruit,Fresh fruit,0,0,1,1.747978931
121,Fresh and processed fruit,Fresh fruit,Fresh apples,0,1,1.673722503
122,Fresh and processed fruit,Fresh fruit,Fresh bananas,0,1,0.059181843
123,Fresh and processed fruit,Fresh fruit,Fresh grapes,0,1,1.382783018
124,Fresh and processed fruit,Fresh fruit,Fresh melons,0,1,1.275232384
125,Fresh and processed fruit,Fresh fruit,Fresh oranges,0,1,1.448908515
126,Fresh and processed fruit,Fresh fruit,Fresh pears,0,1,0.621715011
127,Fresh and processed fruit,Fresh fruit,Fresh stone fruit,0,1,0.819601186
128,Fresh and processed fruit,Fresh fruit,Other fresh citrus fruits,0,1,1.442147655
129,Fresh and processed fruit,Fresh fruit,Other fresh fruit,0,1,0.604238878
130,Fresh and processed fruit,Fresh fruit,Other fresh soft fruit,0,1,-0.787729914
131,Fresh and processed fruit,Processed fruit and fruit products,0,0,1,0.863326647
132,Fresh and processed fruit,Processed fruit and fruit products,All other tinned or bottled fruit,0,1,0.096677305
133,Fresh and processed fruit,Processed fruit and fruit products,Dried fruit,0,1,0.554819129
134,Fresh and processed fruit,Processed fruit and fruit products,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",0,1,1.736698612
135,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",0,1,-0.258752526
136,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",Nuts and edible seeds,1,-0.000178888
137,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",Peanut butter,1,-0.013839877
138,Fresh and processed fruit,Processed fruit and fruit products,Pure fruit juices,0,1,0.753715646
139,Fresh and processed fruit,Processed fruit and fruit products,"Tinned peaches, pears and pineapples",0,1,0.148485279
140,"Fresh and processed fruit and vegetables, excluding potatoes",0,0,0,1,1.080095068
141,"Fresh and processed fruit and vegetables, including potatoes",0,0,0,1,1.184436925
142,Fresh and processed potatoes,0,0,0,1,1.252163895
143,Fresh and processed potatoes,Fresh potatoes,0,0,1,1.113617706
144,Fresh and processed potatoes,Fresh potatoes,Fresh baking potatoes (e),0,1,0.634263029
145,Fresh and processed potatoes,Fresh potatoes,Fresh new potatoes (e),0,1,1.043527539
146,Fresh and processed potatoes,Fresh potatoes,Other fresh potatoes (e),0,1,1.004468078
147,Fresh and processed potatoes,Processed potatoes,0,0,1,0.586078016
148,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,0,1,0.405541485
149,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,Chips - frozen or not frozen,1,1.422998922
150,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,Takeaway chips,1,1.204985926
